seed,initial_a,final_a,initial_b,final_b,score_a,score_b,digest
1,500,2889,500,2316,5.778000,4.632000,0612e51f2810f5c7
2,500,0,500,4292,0.000000,8.584000,d1b1144d4569c1f1
3,500,2256,500,2664,4.512000,5.328000,685e7e4c01ce5de5
4,500,1854,500,2734,3.708000,5.468000,0bbd010f0377badd
5,500,0,500,3592,0.000000,7.184000,11972863d9bd87c1
6,500,0,500,3482,0.000000,6.964000,94d47248c1c7ee60
7,500,3232,500,3030,6.464000,6.060000,82c100fabc0b7ca4
8,500,3140,500,2691,6.280000,5.382000,358ade954ca8a7d0
9,500,1736,500,2594,3.472000,5.188000,6cf47437e620fcdc
10,500,1323,500,2632,2.646000,5.264000,6771e3c73c26ec12
11,500,0,500,3812,0.000000,7.624000,41b4ae8d06770b60
12,500,3258,500,2043,6.516000,4.086000,c59962fe1f079feb
13,500,2079,500,2470,4.158000,4.940000,6656feef4946732d
14,500,3316,500,2297,6.632000,4.594000,dfa016dcff306898
15,500,2985,500,2687,5.970000,5.374000,f44ef394635e5f28
16,500,2329,500,2819,4.658000,5.638000,6776ccc08d0f807d
17,500,1564,500,2432,3.128000,4.864000,003de1be547979d5
18,500,0,500,3565,0.000000,7.130000,bcd0173170771e29
19,500,1585,500,3202,3.170000,6.404000,7a69d5c53c40d850
20,500,2416,500,2570,4.832000,5.140000,53d838c90291db76
21,500,0,500,3520,0.000000,7.040000,30882ab36aa0fefe
22,500,2308,500,2597,4.616000,5.194000,6373f706715db042
23,500,2118,500,2803,4.236000,5.606000,d7e464498bb30faf
24,500,3448,500,2499,6.896000,4.998000,f106c3a59e5d3a97
25,500,1702,500,2526,3.404000,5.052000,012d7c95746e829d
26,500,0,500,3800,0.000000,7.600000,a6bb5d0849426c98
27,500,3119,500,2259,6.238000,4.518000,9ec375eb6d1e12ca
28,500,2238,500,2064,4.476000,4.128000,be5e536487a947d6
29,500,0,500,3204,0.000000,6.408000,855991d9ef1d0731
30,500,1988,500,1960,3.976000,3.920000,e0542b38147d2b11
31,500,2313,500,2127,4.626000,4.254000,ba6ebb6f473c8cd5
32,500,2451,500,2244,4.902000,4.488000,4566b94857906ac6
33,500,2582,500,2309,5.164000,4.618000,caf9989ef8f6c861
34,500,0,500,3523,0.000000,7.046000,cb9308c21c379806
35,500,0,500,4105,0.000000,8.210000,b0debd532a941d81
36,500,1827,500,2352,3.654000,4.704000,c4c625c17dce7180
37,500,1644,500,2507,3.288000,5.014000,c4e0af15c71c7d2b
38,500,1792,500,2079,3.584000,4.158000,a200b9f78f39118f
39,500,2165,500,2381,4.330000,4.762000,68325b459d4079b8
40,500,1700,500,2170,3.400000,4.340000,a6ad9036d317796d
41,500,1909,500,2230,3.818000,4.460000,6fc9702e13ccdce4
42,500,2945,500,2339,5.890000,4.678000,692231b14d1aa2d7
43,500,1329,500,2464,2.658000,4.928000,3eb262ea2306aa6c
44,500,2559,500,2470,5.118000,4.940000,f421867b0699a3cd
45,500,2315,500,2499,4.630000,4.998000,e88c284f0a47e818
46,500,0,500,4043,0.000000,8.086000,a0eead0602ec2347
47,500,0,500,3267,0.000000,6.534000,12b4ed4a305fddf8
48,500,2442,500,2510,4.884000,5.020000,e15455e67616a4b6
49,500,2447,500,2343,4.894000,4.686000,63f67a3af839fbf6
50,500,2140,500,2325,4.280000,4.650000,ec8ca45e6b324ac4
51,500,2159,500,2179,4.318000,4.358000,8f8f187b42d5f99f
52,500,2611,500,2236,5.222000,4.472000,4c4b796e8ff21968
53,500,0,500,3889,0.000000,7.778000,8c7db6e3b27ea794
54,500,1705,500,3002,3.410000,6.004000,40a53d1e49a8289b
55,500,1241,500,2940,2.482000,5.880000,81e76455656391f7
56,500,1779,500,2895,3.558000,5.790000,f792a490fdfeea21
57,500,1895,500,2663,3.790000,5.326000,7e8e8139e8749278
58,500,1819,500,2742,3.638000,5.484000,f098770eabecb978
59,500,0,500,3590,0.000000,7.180000,cfe3e92d974597bb
60,500,0,500,4190,0.000000,8.380000,3da522b99fac7f98
61,500,2301,500,2658,4.602000,5.316000,8a586518325c6192
62,500,1639,500,2319,3.278000,4.638000,f13b78b2d3504757
63,500,2030,500,2481,4.060000,4.962000,a8bdb2190bfd512c
64,500,1428,500,2934,2.856000,5.868000,fb11f9647ebf8d97
65,500,2232,500,2585,4.464000,5.170000,502c9f98787b0600
66,500,1422,500,2495,2.844000,4.990000,4fdc7fd10e9dbdeb
67,500,2323,500,2342,4.646000,4.684000,9741d5070c4bc4f7
68,500,2147,500,2590,4.294000,5.180000,3e8d4ad58020a4bf
69,500,2415,500,2653,4.830000,5.306000,7bcaea60cfa2a723
70,500,1976,500,2509,3.952000,5.018000,2a0abb521322aed5
71,500,2351,500,2253,4.702000,4.506000,09389aa4499b21e4
72,500,3386,500,2275,6.772000,4.550000,d306318634180225
73,500,2303,500,3001,4.606000,6.002000,993a34f0c67cddcf
